ISO_A3,lat,lng
LUX,49.6117,6.1319
FIN,60.1708,24.9375
SWE,59.3275,18.0547
NOR,59.9133,10.7389
AUT,48.2083,16.3725
DNK,55.6805,12.5615
CHE,46.948,7.4474
NLD,52.3728,4.8936
GRC,37.9842,23.7281
DEU,52.52,13.405
CAN,45.4247,-75.695
BEL,50.8467,4.3525
FRA,48.8567,2.3522
SVN,46.0514,14.5061
ITA,41.8931,12.4828
LBN,33.8981,35.5058
BRA,-15.7939,-47.8828
CYP,35.1725,33.365
PRT,38.7122,-9.134
HRV,45.8131,15.9772
EST,59.4372,24.7453
LTU,54.6872,25.28
CZE,50.0875,14.4214
USA,38.9047,-77.0163
AUS,-35.2931,149.1269
IRL,53.3497,-6.2603
ESP,40.4169,-3.7033
CRI,9.9325,-84.08
JPN,35.687,139.7495
POL,52.23,21.0111
LVA,56.9475,24.1069
BGR,42.6979,23.3217
KOR,37.5667,126.9833
ROU,44.4325,26.1039
MLT,35.8983,14.5125
DZA,36.7325,3.0872
SLV,13.6989,-89.1914
HUN,47.4983,19.0408
VEN,10.4806,-66.9036
SVK,48.1447,17.1128
COL,4.7111,-74.0722
UKR,50.45,30.5233
SAU,24.65,46.71
TWN,,
DOM,18.4764,-69.8933
RUS,55.7506,37.6175
HND,14.1057,-87.204
VNM,21,105.85
PHL,14.5958,120.9772
ETH,9.03,38.74
HTI,18.5425,-72.3386
TUR,39.93,32.85
THA,13.7525,100.4942
MAR,34.0209,-6.8416
GTM,14.6417,-90.5133
MEX,19.4333,-99.1333
IDN,-6.175,106.8275
ARG,-34.6036,-58.3814
SDN,15.6031,32.5265
MDG,-18.91,47.525
EGY,30.0444,31.2358
ZAF,-33.9253,18.4239
PER,-12.06,-77.0375
UGA,0.3136,32.5811
IND,28.6139,77.2089
